dataset_id,benchmark,suite,scale_factor,threads,query,comparison,base_case,treatment_case,paired_success_count,treatment_completion_win_count,treatment_completion_loss_count,both_failed_count,median_speedup,geomean_speedup,p10_speedup,p90_speedup,treatment_win_rate_paired,tie_rate_paired,helped_at_least_10pct_rate,hurt_at_least_10pct_rate,at_least_2x_speedup_rate
job_t1,job,job,,1,5c,full_vs_thc,3,4,20,0,0,0,1.02690637,1.03234207,1,1.05727273,0.75,0.2,0.1,0,0
job_t1,job,job,,1,6a,forward_vs_baseline,1,2,20,0,0,0,1.26851852,2.3231102,0.891290727,23.7528633,0.75,0,0.55,0.25,0.25
job_t1,job,job,,1,6a,thc_vs_baseline,1,3,20,0,0,0,1.25925926,2.32591055,0.877192982,23.4008772,0.75,0,0.55,0.2,0.25
job_t1,job,job,,1,6a,full_vs_baseline,1,4,20,0,0,0,1.28301887,2.42127746,0.943396226,24.0037736,0.75,0,0.55,0,0.25
job_t1,job,job,,1,6a,thc_vs_forward,2,3,20,0,0,0,1,1.00120543,0.982358674,1.01991758,0.2,0.55,0,0,0
job_t1,job,job,,1,6a,backward_vs_forward,2,4,20,0,0,0,1.04913522,1.04225682,1,1.0754717,0.7,0.3,0,0,0
job_t1,job,job,,1,6a,full_vs_thc,3,4,20,0,0,0,1.03871855,1.04100197,1,1.07735849,0.7,0.3,0,0,0
job_t1,job,job,,1,6b,forward_vs_baseline,1,2,20,0,0,0,1,1.14829865,0.976179463,1.54166667,0.35,0.2,0.35,0,0
job_t1,job,job,,1,6b,thc_vs_baseline,1,3,20,0,0,0,1,1.14909453,0.976179463,1.54166667,0.4,0.15,0.35,0,0
job_t1,job,job,,1,6b,full_vs_baseline,1,4,20,0,0,0,1.52083333,1.2828963,0.97826087,1.62222222,0.7,0.05,0.55,0,0
job_t1,job,job,,1,6b,thc_vs_forward,2,3,20,0,0,0,1,1.0006931,0.979504993,1.02132285,0.2,0.65,0,0,0
job_t1,job,job,,1,6b,backward_vs_forward,2,4,20,0,0,0,1.02150786,1.11721485,1,1.63183575,0.75,0.25,0.2,0,0
job_t1,job,job,,1,6b,full_vs_thc,3,4,20,0,0,0,1.02173913,1.11644105,1,1.61227053,0.75,0.2,0.2,0,0
job_t1,job,job,,1,6c,forward_vs_baseline,1,2,20,0,0,0,1.56478405,2.40873429,0.976744186,28.2880952,0.55,0.15,0.55,0,0.25
job_t1,job,job,,1,6c,thc_vs_baseline,1,3,20,0,0,0,1.5404334,2.39755488,0.976744186,27.8874308,0.55,0.15,0.55,0,0.25
job_t1,job,job,,1,6c,full_vs_baseline,1,4,20,0,0,0,1.54651163,2.40307308,0.976744186,28.2880952,0.55,0.2,0.55,0,0.25
job_t1,job,job,,1,6c,thc_vs_forward,2,3,20,0,0,0,1,0.995358802,0.976744186,1.00238095,0.1,0.6,0,0,0
job_t1,job,job,,1,6c,backward_vs_forward,2,4,20,0,0,0,1,0.997649717,0.976744186,1.00238095,0.1,0.7,0,0,0
job_t1,job,job,,1,6c,full_vs_thc,3,4,20,0,0,0,1,1.0023016,0.976744186,1.02380952,0.35,0.4,0,0,0
job_t1,job,job,,1,6d,forward_vs_baseline,1,2,20,0,0,0,0.979381443,0.978260642,0.959918367,0.989594072,0,0.05,0,0,0
job_t1,job,job,,1,6d,thc_vs_baseline,1,3,20,0,0,0,0.979381443,0.979249317,0.959431881,1,0,0.2,0,0,0
job_t1,job,job,,1,6d,full_vs_baseline,1,4,20,0,0,0,1.6875,1.51486482,1.28909091,1.72909091,1,0,1,0,0
job_t1,job,job,,1,6d,thc_vs_forward,2,3,20,0,0,0,1,1.00101065,0.985797022,1.01369863,0.35,0.35,0,0,0
job_t1,job,job,,1,6d,backward_vs_forward,2,4,20,0,0,0,1.7387987,1.54852885,1.32668831,1.76363636,1,0,1,0,0
job_t1,job,job,,1,6d,full_vs_thc,3,4,20,0,0,0,1.73214286,1.54696541,1.32019481,1.78181818,1,0,1,0,0
job_t1,job,job,,1,6e,forward_vs_baseline,1,2,20,0,0,0,1.375,2.59403851,0.926470588,27.1969251,0.75,0,0.75,0,0.25
job_t1,job,job,,1,6e,thc_vs_baseline,1,3,20,0,0,0,1.38531607,2.61059957,0.938915716,27.5479822,0.75,0,0.75,0,0.25
